대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
인천광역시 부평구 부평동 210-53번지,,164.4,03000,제1종근린생활시설,
인천광역시 부평구 부평동 210-54번지,,139.53,01000,단독주택,19850529.0
인천광역시 부평구 부평동 210-57번지,,244.61,03000,제1종근린생활시설,
인천광역시 부평구 부평동 210-7번지,,54.86,03000,제1종근린생활시설,19721102.0
인천광역시 부평구 부평동 210-9번지,,171.9,03000,제1종근린생활시설,
인천광역시 부평구 부평동 211-100번지,,102.52,01000,단독주택,
인천광역시 부평구 부평동 211-102번지,,162.16,03000,제1종근린생활시설,19800425.0
인천광역시 부평구 부평동 211-104번지,,271.73,01000,단독주택,
인천광역시 부평구 부평동 211-109번지,,243.0,01000,단독주택,
인천광역시 부평구 부평동 211-111번지,,253.625,03000,제1종근린생활시설,
인천광역시 부평구 부평동 211-113번지,,218.82,01000,단독주택,
인천광역시 부평구 부평동 211-117번지,,39.0,03000,제1종근린생활시설,
인천광역시 부평구 부평동 211-119번지,,66.65,01000,단독주택,
인천광역시 부평구 부평동 211-125번지,,632.71,04000,제2종근린생활시설,
인천광역시 부평구 부평동 211-136번지,,293.7,01000,단독주택,19780907.0
인천광역시 부평구 부평동 211-137번지,,226.45,03000,제1종근린생활시설,
인천광역시 부평구 부평동 211-139번지,,270.72,01000,단독주택,19681228.0
인천광역시 부평구 부평동 211-13번지,,262.02,03000,제1종근린생활시설,
인천광역시 부평구 부평동 211-141번지,,190.8,01000,단독주택,19781230.0
인천광역시 부평구 부평동 211-143번지,,198.9,01000,단독주택,19781230.0
인천광역시 부평구 부평동 211-145번지,,487.4,03000,제1종근린생활시설,19781231.0
인천광역시 부평구 부평동 211-147번지,,408.04,04000,제2종근린생활시설,19851012.0
인천광역시 부평구 부평동 211-149번지,,327.3,03000,제1종근린생활시설,19690623.0
인천광역시 부평구 부평동 211-157번지,,232.08,03000,제1종근린생활시설,19690829.0
인천광역시 부평구 부평동 211-158번지,,196.03,01000,단독주택,19771201.0
인천광역시 부평구 부평동 211-160번지,,150.63,01000,단독주택,19850408.0
인천광역시 부평구 부평동 211-162번지,,62.81,03000,제1종근린생활시설,
인천광역시 부평구 부평동 211-163번지,,255.35,04000,제2종근린생활시설,20210728.0
인천광역시 부평구 부평동 211-164번지,,31.07,03000,제1종근린생활시설,1961.0
인천광역시 부평구 부평동 211-165번지,,28.76,03000,제1종근린생활시설,
인천광역시 부평구 부평동 211-166번지,,238.1,01000,단독주택,
인천광역시 부평구 부평동 211-169번지,,81.27,01000,단독주택,19710917.0
인천광역시 부평구 부평동 211-170번지,,32.4,03000,제1종근린생활시설,
인천광역시 부평구 부평동 211-172번지,,28.43,03000,제1종근린생활시설,1952.0
인천광역시 부평구 부평동 211-179번지,,194.94,03000,제1종근린생활시설,19761227.0
