연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자
136,삼산타운7,인천광역시 부평구 삼산2동 453-1,인천광역시 부평구 체육관로 27,22,15,1314,2004-08-17,2021-09-28
137,동원,인천광역시 부평구 부개1동 446,인천광역시 부평구 동수로128번길 26,6,4,192,1991-02-28,2021-09-28
138,성업,인천광역시 부평구 부개1동 260-10,인천광역시 부평구 경인로1046번길 12,5,2,80,1985-05-09,2021-09-28
139,광일,인천광역시 부평구 부개1동 402,인천광역시 부평구 마분로 39,5,1,55,1985-01-15,2021-09-28
140,한국,인천광역시 부평구 부개1동 442-3,인천광역시 부평구 동수로120번길 11,18,5,580,1992-07-13,2021-09-28
141,현대직장조합,인천광역시 부평구 부개1동 308-5,인천광역시 부평구 경인로1083번길 32,15,2,184,1993-05-20,2021-09-28
142,한일,인천광역시 부평구 부개1동 380,인천광역시 부평구 항동로45번길 53-17,5,4,110,1984-03-13,2021-09-28
143,그린힐(주상복합),인천광역시 부평구 부개1동 270,인천광역시 부평구 경인로 1038,19,1,64,2002-08-01,2021-09-28
144,백영,인천광역시 부평구 부개2동 120-46,인천광역시 부평구 수변로 115,22,1,128,1999-02-26,2021-09-28
145,태산,인천광역시 부평구 부개2동 120-387,인천광역시 부평구 부평문화로 212-1,5,3,110,1986-12-06,2021-09-28
146,한양,인천광역시 부평구 부개2동 131-3,인천광역시 부평구 충선로 57,5,2,44,1982-12-27,2021-09-28
147,신삼호,인천광역시 부평구 부개2동 105-5,인천광역시 부평구 부평문화로153번길 6,5,2,40,1981-07-02,2021-09-28
148,삼이,인천광역시 부평구 부개2동 90-1,인천광역시 부평구 충선로 85,5,2,50,1983-05-03,2021-09-28
149,영림,인천광역시 부평구 부개2동 16-61,인천광역시 부평구 장제로160번길 69,5,1,30,1982-12-29,2021-09-28
150,대림,인천광역시 부평구 부개2동 87-1,인천광역시 부평구 동수천로 133-1,5,1,30,1979-04-19,2021-09-28
151,성일,인천광역시 부평구 부개2동 494,인천광역시 부평구 수변로52번길 6,13,3,415,1990-11-23,2021-09-28
152,대동,인천광역시 부평구 부개2동 494-1,인천광역시 부평구 부일로113번길 11,15,6,688,1991-06-08,2021-09-28
153,동산,인천광역시 부평구 부개2동 120-347,인천광역시 부평구 수변로107번길 39,5,2,35,1984-07-23,2021-09-28
154,부개주공7단지,인천광역시 부평구 부개2동 502-8,인천광역시 부평구 동수천로 118,25,13,957,1998-06-01,2021-09-28
155,리노빌,인천광역시 부평구 부개2동 296-2,인천광역시 부평구 수변로9번길 10,13,1,103,2003-09-01,2021-09-28
156,부개푸르지오,인천광역시 부평구 부개2동 120-342,인천광역시 부평구 부일로 69,26,12,1054,2010-01-28,2021-09-28
157,비둘기,인천광역시 부평구 부개3동 65-1,인천광역시 부평구 부흥로385번길 30,5,2,70,1982-12-28,2021-09-28
158,진양,인천광역시 부평구 부개3동 14-2,인천광역시 부평구 부흥북로107번길 30,6,2,96,1989-11-21,2021-09-28
159,동아,인천광역시 부평구 부개3동 477-5,인천광역시 부평구 길주남로113번길 12,6,5,384,1988-10-15,2021-09-28
160,오성,인천광역시 부평구 부개3동 13-3,인천광역시 부평구 충선로 160,5,5,165,1984-08-21,2021-09-28
161,대동,인천광역시 부평구 부개2동 477-1,인천광역시 부평구 길주로 640,6,3,252,1988-10-29,2021-09-28
162,대동,인천광역시 부평구 부개3동 477-6,인천광역시 부평구 길주로 640,6,5,456,1989-04-27,2021-09-28
163,뉴서울,인천광역시 부평구 부개3동 477-3,인천광역시 부평구 충선로 191,15,4,1140,1989-12-27,2021-09-28
164,대진,인천광역시 부평구 부개3동 477-2,인천광역시 부평구 길주로 654,6,3,258,1988-11-29,2021-09-28
165,욱일,인천광역시 부평구 부개3동 477,인천광역시 부평구 장제로 234,6,6,468,1988-11-29,2021-09-28
166,부개주공1단지,인천광역시 부평구 부개3동 496-2,인천광역시 부평구 길주남로 143,20,11,1044,1996-11-05,2021-09-28
167,부개주공2단지(임대),인천광역시 부평구 부개3동 496-2,인천광역시 부평구 길주남로 143,15,4,446,1996-09-11,2021-09-28
168,부개주공5단지,인천광역시 부평구 부개3동 500-1,인천광역시 부평구 부개로 11,25,10,960,1998-06-16,2021-09-28
169,부개주공5단지(임대),인천광역시 부평구 부개3동 500-1,인천광역시 부평구 부개로 11,20,3,357,1998-06-16,2021-09-28
170,부개주공3단지,인천광역시 부평구 부개3동 498-5,인천광역시 부평구 길주남로 144,20,19,1724,1996-08-04,2021-09-28
171,부개주공6단지,인천광역시 부평구 부개3동 501-1,인천광역시 부평구 부개로 12,25,14,1240,1997-10-12,2021-09-28
172,보람,인천광역시 부평구 부개3동 497-1,인천광역시 부평구 길주남로 175,20,8,576,1998-07-31,2021-09-28
173,삼부한신,인천광역시 부평구 부개3동 499-2,인천광역시 부평구 부개로 58,22,12,1020,1999-06-29,2021-09-28
174,풍림,인천광역시 부평구 일신동 409,인천광역시 부평구 일신로14번길 23,24,10,750,1995-11-03,2021-09-28
175,일신주공,인천광역시 부평구 일신동 410,인천광역시 부평구 항동로75번길 11,20,12,967,1995-12-09,2021-09-28
176,자이,인천광역시 부평구 구산동 360,인천광역시 부평구 일신로 120,17,9,719,2006-09-27,2021-09-28
177,백영,인천광역시 부평구 십정1동 216,인천광역시 부평구 경원대로1090번길 10,22,1,206,1997-05-06,2021-09-28
178,정원,인천광역시 부평구 십정1동 188-2,인천광역시 부평구 상정로 19,5,3,138,1987-10-26,2021-09-28
179,한국,인천광역시 부평구 십정1동 186-7,인천광역시 부평구 이규보로95번길 24,18,3,194,1998-01-06,2021-09-28
180,동보,인천광역시 부평구 십정1동 187-22,인천광역시 부평구 상정로 11,22,1,207,1998-07-22,2021-09-28
181,십정주공(임대),인천광역시 부평구 십정1동 608-4,인천광역시 부평구 이규보로 79,24,12,920,2005-07-20,2021-09-28
182,십정금호어울림,인천광역시 부평구 십정1동 609,인천광역시 부평구 경원대로1110번길 20,21,6,290,2008-06-19,2021-09-28
183,시민,인천광역시 부평구 십정2동 306-1,인천광역시 부평구 배곶로 42,5,2,40,1984-11-09,2021-09-28
184,수정,인천광역시 부평구 십정2동 390-16,인천광역시 부평구 하정로 21,5,1,30,1985-08-26,2021-09-28
185,약산,인천광역시 부평구 십정2동 582,인천광역시 부평구 동암산로 33,5,1,60,1986-01-22,2021-09-28
186,삼용,인천광역시 부평구 십정2동 424,인천광역시 부평구 배곶로20번길 13,5,1,45,1986-11-05,2021-09-28
187,광명,인천광역시 부평구 십정2동 432,인천광역시 부평구 하정로15번길 50,5,2,100,1987-12-24,2021-09-28
188,삼미,인천광역시 부평구 십정2동 587-6,인천광역시 부평구 동암산로37번길 13,5,1,40,1988-02-20,2021-09-28
189,동암신동아,인천광역시 부평구 십정2동 607,인천광역시 부평구 아트센터로 118,24,17,1690,2000-09-09,2021-09-28
190,대주파크빌,인천광역시 부평구 십정2동 182-95,인천광역시 부평구 마장로 49,21,2,312,2001-11-24,2021-09-28
191,천일,인천광역시 부평구 십정2동 326-13,인천광역시 부평구 백범로540번길 41,9,1,46,2005-03-18,2021-09-28
192,목동휘버스,인천광역시 부평구 십정2동 487-2,인천광역시 부평구 경인로701번길 49,12,1,64,2005-11-21,2021-09-28
193,동암(정든마을),인천광역시 부평구 십정2동 427-3,인천광역시 부평구 이규보로 42,15,1,68,2007-10-16,2021-09-28
194,백운 브라운스톤,인천광역시 부평구 십정동 182-166,인천광역시 부평구 길주남로10번길 21,26,5,261,2014-06-25,2021-09-28
195,부평 래미안,인천광역시 부평구 부평동 947,인천광역시 부평구 마장로 43-20,26,18,1381,2014-09-29,2021-09-28
196,동도 센트리움,인천광역시 부평구 부개동 308-3,인천광역시 부평구 경인로1099번길 39,15,2,217,2014-10-22,2021-09-28
