대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일,건물노후도
인천광역시 부평구 부평동 438-48번지,,66.45,01000,단독주택,1970-04-03,586
인천광역시 부평구 부평동 438-51번지,부경맨션,496.67,02000,공동주택,2001-04-16,220
인천광역시 부평구 부평동 438-53번지,유림화이트빌,629.92,02000,공동주택,2012-04-27,90
인천광역시 부평구 부평동 438-54번지,진하우징,552.04,02000,공동주택,2007-11-21,142
인천광역시 부평구 부평동 438-62번지,하이네스빌,541.28,02000,공동주택,2001-04-12,220
인천광역시 부평구 부평동 438-63번지,하이네스빌,659.83,02000,공동주택,2001-04-12,220
인천광역시 부평구 부평동 438-9번지,대영사이버APT,2620.8,02000,공동주택,2003-04-02,197
인천광역시 부평구 부평동 439-12번지,부평 대우마이빌,23262.42,14000,업무시설,2004-08-10,181
인천광역시 부평구 부평동 439-15번지,대영빌딩,901.88,03000,제1종근린생활시설,2007-07-30,146
인천광역시 부평구 부평동 439-17번지,,343.3,03000,제1종근린생활시설,1986-02-13,399
인천광역시 부평구 부평동 439-18번지,,236.35,03000,제1종근린생활시설,1985-08-30,404
인천광역시 부평구 부평동 439-19번지,,438.55,03000,제1종근린생활시설,1995-08-12,287
인천광역시 부평구 부평동 439-1번지,,14.26,01000,단독주택,1983-09-23,427
인천광역시 부평구 부평동 439-1번지,,116.43,03000,제1종근린생활시설,1983-09-23,427
인천광역시 부평구 부평동 439-1번지,,624.8,03000,제1종근린생활시설,1980-12-13,460
인천광역시 부평구 부평동 439-1번지,,97.89,01000,단독주택,1983-02-21,434
인천광역시 부평구 부평동 439-2번지,태강 CITY,13548.28,02000,공동주택,2018-08-30,15
인천광역시 부평구 부평동 439-5번지,신도프라임빌,748.75,02000,공동주택,2002-06-15,206
인천광역시 부평구 부평동 44-21번지,,144.46,04000,제2종근린생활시설,1975-04-26,526
인천광역시 부평구 부평동 440-2번지,맥도날드,411.3,04000,제2종근린생활시설,2013-01-25,81
인천광역시 부평구 부평동 440-3번지,청림주상복합아파트,1741.27,02000,공동주택,2009-10-29,119
인천광역시 부평구 부평동 440-5번지,여산빌딩,7834.19,14000,업무시설,1987-12-11,377
인천광역시 부평구 부평동 440-9번지,,359.16,04000,제2종근린생활시설,1995-02-11,293
인천광역시 부평구 부평동 441-10번지,경남해피타운,3744.56,14000,업무시설,2016-12-23,35
인천광역시 부평구 부평동 441-15번지,신대림아파트,639.65,02000,공동주택,2002-07-26,205
인천광역시 부평구 부평동 441-16번지,,383.04,04000,제2종근린생활시설,1991-03-12,339
인천광역시 부평구 부평동 441-17번지,수연아파트,610.34,02000,공동주택,2002-05-24,207
인천광역시 부평구 부평동 441-18번지,,815.75,03000,제1종근린생활시설,1991-08-10,334
인천광역시 부평구 부평동 441-1번지,,329.82,01000,단독주택,1998-09-23,250
인천광역시 부평구 부평동 441-20번지,리코팰리스,4284.67,02000,공동주택,2016-01-13,46
인천광역시 부평구 부평동 441-24번지,명신아파트,714.01,02000,공동주택,2002-01-31,211
