address,latitude,longitude,주용도코드명,연면적
인천광역시 부평구 부평동 10-629번지,37.5045099,126.7318776,단독주택,246.48
인천광역시 부평구 부평동 10-630번지,37.5044166,126.7319151,단독주택,188.55
인천광역시 부평구 부평동 10-631번지,37.5043236,126.7319241,제2종근린생활시설,710.56
인천광역시 부평구 부평동 10-633번지,37.5042894,126.732206,단독주택,143.38
인천광역시 부평구 부평동 10-634번지,37.5043847,126.732144,단독주택,131.43
인천광역시 부평구 부평동 10-635번지,37.5044816,126.7320866,단독주택,203.5
인천광역시 부평구 부평동 10-636번지,37.5045795,126.7320286,공동주택,544.38
인천광역시 부평구 부평동 10-638번지,37.5046697,126.732093,단독주택,199.38
인천광역시 부평구 부평동 10-639번지,37.5045754,126.7321513,공동주택,393.12
인천광역시 부평구 부평동 10-641번지,37.5043841,126.7322675,단독주택,129.82
인천광역시 부평구 부평동 10-642번지,37.5042858,126.7323356,단독주택,245.88
인천광역시 부평구 부평동 10-643번지,37.5040949,126.7320417,단독주택,266.785
