,대지위치,주용도코드명,연면적
355,인천광역시 부평구 갈산동 177-11번지,공동주택,402.4
356,인천광역시 부평구 갈산동 177-14번지,공동주택,374.86
357,인천광역시 부평구 갈산동 177-1번지,제2종근린생활시설,4324.31
358,인천광역시 부평구 갈산동 177-5번지,단독주택,2115.77
359,인천광역시 부평구 갈산동 177-7번지,제1종근린생활시설,541.7
360,인천광역시 부평구 갈산동 177-8번지,제2종근린생활시설,864.36
361,인천광역시 부평구 갈산동 177번지,제2종근린생활시설,1225.74
362,인천광역시 부평구 갈산동 178-10번지,공동주택,1145.12
363,인천광역시 부평구 갈산동 178-12번지,공동주택,1145.12
364,인천광역시 부평구 갈산동 178-1번지,제2종근린생활시설,9148.26
365,인천광역시 부평구 갈산동 178-21번지,제2종근린생활시설,1245.43
366,인천광역시 부평구 갈산동 178-23번지,공동주택,447.42
367,인천광역시 부평구 갈산동 178-24번지,공동주택,447.42
368,인천광역시 부평구 갈산동 178-26번지,공동주택,447.42
369,인천광역시 부평구 갈산동 178-27번지,공동주택,652.8
370,인천광역시 부평구 갈산동 178-28번지,공동주택,449.22
371,인천광역시 부평구 갈산동 178-29번지,공동주택,431.22
372,인천광역시 부평구 갈산동 178-30번지,공동주택,431.22
373,인천광역시 부평구 갈산동 178-31번지,공동주택,431.22
374,인천광역시 부평구 갈산동 178-34번지,공동주택,1178.79
375,인천광역시 부평구 갈산동 178-35번지,공동주택,499.7
376,인천광역시 부평구 갈산동 178-36번지,공동주택,532.74
377,인천광역시 부평구 갈산동 178-37번지,공동주택,1038.62
378,인천광역시 부평구 갈산동 178-3번지,공동주택,393.6
379,인천광역시 부평구 갈산동 178-6번지,공동주택,862.5799999999999
380,인천광역시 부평구 갈산동 178-8번지,공동주택,497.25
381,인천광역시 부평구 갈산동 178-9번지,제2종근린생활시설,443.4
382,인천광역시 부평구 갈산동 178번지,제1종근린생활시설,583.48
383,인천광역시 부평구 갈산동 179-1번지,공동주택,52617.86
384,인천광역시 부평구 갈산동 179-6번지,공동주택,862.9200000000001
385,인천광역시 부평구 갈산동 179번지,공동주택,659.96
386,인천광역시 부평구 갈산동 17번지,단독주택,488.42
387,인천광역시 부평구 갈산동 18-2번지,단독주택,274.36
388,인천광역시 부평구 갈산동 180-10번지,공동주택,518.42
389,인천광역시 부평구 갈산동 180-13번지,공동주택,1132.6599999999999
390,인천광역시 부평구 갈산동 180-14번지,공동주택,1132.6599999999999
391,인천광역시 부평구 갈산동 180-16번지,공동주택,518.42
392,인천광역시 부평구 갈산동 180-17번지,공동주택,659.7
393,인천광역시 부평구 갈산동 180-18번지,공동주택,518.42
394,인천광역시 부평구 갈산동 180-19번지,공동주택,659.7
395,인천광역시 부평구 갈산동 180-1번지,공동주택,518.42
396,인천광역시 부평구 갈산동 180-24번지,공동주택,658.8
397,인천광역시 부평구 갈산동 180-25번지,제1종근린생활시설,334.26
398,인천광역시 부평구 갈산동 180-2번지,공동주택,518.42
399,인천광역시 부평구 갈산동 180-3번지,공동주택,518.42
400,인천광역시 부평구 갈산동 180-4번지,공동주택,1132.6599999999999
401,인천광역시 부평구 갈산동 180-5번지,공동주택,1132.6599999999999
402,인천광역시 부평구 갈산동 180-6번지,제1종근린생활시설,545.01
403,인천광역시 부평구 갈산동 180-8번지,공동주택,518.42
404,인천광역시 부평구 갈산동 180-9번지,공동주택,518.42
405,인천광역시 부평구 갈산동 180번지,제1종근린생활시설,23.98
406,인천광역시 부평구 갈산동 181-14번지,공동주택,895.78
407,인천광역시 부평구 갈산동 181-15번지,공동주택,883.26
408,인천광역시 부평구 갈산동 181-16번지,공동주택,883.79
409,인천광역시 부평구 갈산동 181-17번지,공동주택,883.79
410,인천광역시 부평구 갈산동 181-18번지,공동주택,883.79
411,인천광역시 부평구 갈산동 181-19번지,공동주택,883.79
412,인천광역시 부평구 갈산동 181-20번지,공동주택,651.19
413,인천광역시 부평구 갈산동 181-7번지,공동주택,646.64
414,인천광역시 부평구 갈산동 181-9번지,공동주택,448.98
415,인천광역시 부평구 갈산동 182-10번지,공동주택,786.52
